,No.,Material,Part Name,Storage Bin,Tact,Box 1,Box 2,Box 3,Box 4,Box 5,Recount 1,Recount 2,Recount 3,Recount 4,Recount 5,Status,,Verify By,Remark
,79,4M0941310K,SENSOR,RA-11,REAR AXLE,16,,,,,,,,,,Counted,,,
,80,4M0971165E,HARNESS,RA-66,REAR AXLE,17,,,,,,,,,,Counted,,,
,81,4M0971845AC,BRACKET,FA-32,FRONT AXLE,38,,,,,,,,,,Counted,,,
,82,4M0971845AR,BRACKET,RA-58,REAR AXLE,30,,,,,,,,,,Counted,,,
,83,4M0971846J,BRACKET,RA-60,REAR AXLE,7,,,,,,,,,,Counted,,,
,84,4M2971111Q,HARNESS ELECTRIC STEERING,FA-10,FRONT AXLE,9,,,,,,,,,,Counted,,,
,85,4M2971565,"HARNESS,AIR CONDITIONER",CC-2,CONSOLE,46,,,,,,,,,,Counted,,,
,86,4M8713041D,SHIFT MECHANISM,CC-15,CONSOLE,6,22,,,,,,,,,Counted,,,
,87,4M8819203B 6PS,VENT,CC-48,CONSOLE,9,,,,,,,,,,Counted,,,
,88,4M8862533D 4PK,BEVERAGE HOLDER,CC-25,CONSOLE,11,,,,,,,,,,Counted,,,
,89,4M8863276A V58,COVER,CC-27,CONSOLE,4,48,,,,,,,,,Counted,,,
,90,4M8863324E V58,TRIM,CC-34,CONSOLE,6,23,,,,,,,,,Counted,,,
,91,4M8863440 6PS,TRIM,CC-36,CONSOLE,13,,,,,,,,,,Counted,,,
,92,4M8863915C 24A,TRIM,CC-49,CONSOLE,28,,,,,,,,,,Counted,,,
,93,4M8864132 4PK,STORAGE COMPARTMENT,CC-47,CONSOLE,97,,,,,,,,,,Counted,,,
,94,4M8971411A,"HARNESS,ADAPTER CABLE",CC-35,CONSOLE,38,,,,,,,,,,Counted,,,
,95,4N0035502B,ANTENNA,CC-11,CONSOLE,18,,,,,,,,,,Counted,,,
,96,4N0825429,CLIP,FA-27,FRONT AXLE,68,67,,,,,,,,,Counted,,,
,97,4N0925301B,SWITCH MODULE,CC-21,CONSOLE,6,11,,,,,,,,,Counted,,,
,98,4N0927225B,SWITCH,CC-29,CONSOLE,28,,,,,,,,,,Counted,,,
,99,4N0959673J,SWITCH MODULE,CC-17,CONSOLE,58,,,,,,,,,,Counted,,,
,100,4N1035727,SOCKET HOUSING,CC-12,CONSOLE,10,,,,,,,,,,Counted,,,
,101,4N1035954A,CONVERTER,CC-39,CONSOLE,10,,,,,,,,,,Counted,,,
,102,4N2713111E MNC,COVER,CC-28,CONSOLE,28,,,,,,,,,,Counted,,,
,103,4N2919600A,OPERATING DEVICE,CC-19,CONSOLE,6,6,,,,,,,,,Counted,,,
,104,6H0957818,CABLE TIE BASE,RA-63,REAR AXLE,239,,,,,,,,,,Counted,,,
,105,83A905217,TIP SWITCH,CC-18,CONSOLE,18,,,,,,,,,,Counted,,,
,106,85H919311,COVER,CC-26,CONSOLE,19,,,,,,,,,,Counted,,,
,107,85H919311A,COVER,CC-40,CONSOLE,45,,,,,,,,,,Counted,,,
,108,85H919340,FASTENER,CC-37,CONSOLE,47,,,,,,,,,,Counted,,,
,109,8E0831575B,FOAM STRIP,CC-24,CONSOLE,9,,,,,,,,,,Counted,,,
,110,N 01116417,HEX.NUT,FA-20,FRONT AXLE,247,,,,,,,,,,Counted,,,
,111,N 01474011,SOCKET HEAD CAP BOLT,RA-42,REAR AXLE,32,,,,,,,,,,Counted,,,
,112,N 01508210,HEXAGON FLANGE NUT,FA-37,FRONT AXLE,69,,,,,,,,,,Counted,,,
,113,N 01508210,HEXAGON FLANGE NUT,RA-57,REAR AXLE,135,,,,,,,,,,Counted,,,
,114,N 10106402,PREV.TORQUE TYPE HEX.NUT W.FLANGE,CM-18,CM,280,,,,,,,,,,Counted,,,
,115,N 10106403,PREV.TORQUE TYPE HEX.NUT W.FLANGE,RA-56,REAR AXLE,135,,,,,,,,,,Counted,,,
,116,N 10261311,HEXAGON FLANGE NUT,FA-19,FRONT AXLE,218,,,,,,,,,,Counted,,,
,117,N 10272202,HEXAGON HEAD BOLT WITH WASHER,CM-17,CM,122,,,,,,,,,,Counted,,,
,118,N 10272302,PREV.TORQUE TYPE HEX.NUT W.FLANGE,RA-53,REAR AXLE,127,,,,,,,,,,Counted,,,
,119,N 10640901,HEXAGON FLANGE BOL T,RA-8,REAR AXLE,20,,,,,,,,,,Counted,,,
,120,N 10648301,HEXALOBULAR SOCKET FLAT HEAD SCREW,CM-5,CM,177,,,,,,,,,,Counted,,,
,121,N 10648301,HEXALOBULAR SOCKET FLAT HEAD SCREW,RA-46,REAR AXLE,26,,,,,,,,,,Counted,,,
,122,N 10653201,HEXAGON FLANGE BOLT,FA-39,FRONT AXLE,961,,,,,,,,,,Counted,,,
,123,N 10671702,HEXAGON HEAD BOLT WITH WASHER,CC-16,CONSOLE,88,,,,,,,,,,Counted,,,
,124,N 10684301,HEXAGON FLANGE BOLT,RA-10,REAR AXLE,349,,,,,,,,,,Counted,,,
,125,N 10734101,HEXAGON FLANGE BOL T,CC-22,CONSOLE,199,,,,,,,,,,Counted,,,
,126,N 10741402,HEXALOBULAR SOCKET SCREW WITH FLANGE,CM-3,CM,280,,,,,,,,,,Counted,,,
,127,N 10741402,HEXALOBULAR SOCKET SCREW WITH FLANGE,RA-44,REAR AXLE,655,,,,,,,,,,Counted,,,
,128,N 10810701,12-POINT SOCKET FLANGE BOLT,RA-52,REAR AXLE,217,,,,,,,,,,Counted,,,
,129,N 10815401,HEXAGON FLANGE BOLT,RA-59,REAR AXLE,32,,,,,,,,,,Counted,,,
,130,N 10817601,DUO HEXAGON FLANGE BOLT,FA-7,FRONT AXLE,60,,,,,,,,,,Counted,,,
,131,N 90097204,TRIPLE SQUARE BOLT,RA-23,REAR AXLE,156,,,,,,,,,,Counted,,,
,132,N 90696702,HEXAGON HEAD BOLT WITH WASHER,FA-30,FRONT AXLE,36,,,,,,,,,,Counted,,,
,133,N 90729003,HEXALOBULAR SOCKET SCREW W.WASHER,CC-9,CONSOLE,366,,,,,,,,,,Counted,,,
,134,N 90732103,FLANGE SCREW FOR TP,CC-14,CONSOLE,53,,,,,,,,,,Counted,,,
,135,N 90918702,FLANGE SCREW FOR TP,CC-23,CONSOLE,242,,,,,,,,,,Counted,,,
,136,N 90986802,FLANGE TAPPING SCREW,CC-8,CONSOLE,232,,,,,,,,,,Counted,,,
,137,N 90999502,HEXAGON FLANGE BOLT,FA-35,FRONT AXLE,88,,,,,,,,,,Counted,,,
,138,N 91016602,HEXAGON HEAD BOLT WITH WASHER,RA-34,REAR AXLE,134,,,,,,,,,,Counted,,,
,139,N 91021102,TRIPLE SQUARE PAN HEAD BOLT,CM-9,CM,108,,,,,,,,,,Counted,,,
,140,N 91126801,HEXAGON FLANGE SCREW W.WASHER,RA-49,REAR AXLE,164,,,,,,,,,,Counted,,,
,141,N 91147601,HEXAGON FLANGE SCREW W.WASHER,CM-7,CM,160,,,,,,,,,,Counted,,,
