,No,Material,PART NAME,Storage Bin,Location,TACT,Box 1,Box 2,Box 3,Box 4,Box 5,Recount 1,Recount 2,Recount 3,Recount 4,Recount 5,Status,Verify By,Remark
,240,4M0133835G,AIR CLEANER,T9-37,B22,09 LHS,12,,,,,,,,,,Verified,AMMAR,
,241,4M0807329,RETAINING PART,T9-42,B22,09 LHS,10,,,,,,,,,,Verified,AMMAR,
,242,4M0807309,BUMPER BAR,T9-44,B22,09 LHS,2,,,,,,,,,,Verified,AMMAR,
,243,4M0807453B,GUIDE,T9-46,B22,09 LHS,24,,,,,,,,,,Verified,AMMAR,
,244,4M0807454B,GUIDE,T9-48,B22,09 LHS,25,,,,,,,,,,Counted,,
,245,4M0129510H,RAW AIR INDUCTION,T9-49,B22,09 LHS,5,14,,,,,,,,,Counted,,
,246,4M2419753D,STEERING SHAFT,T9-56,B22,09 RHS,20,,,,,,,,,,Verified,NEESHAN,
,247,4M2867272B 4PK,"TRIM PANEL,PILLAR A,LWR",T9-61,B22,09 RHS,15,,,,,,,,,,Verified,AMMAR,
,248,4M2867271B 4PK,"TRIM PANEL,PILLAR A,LWR",T9-67,B22,09 RHS,15,,,,,,,,,,Verified,AMMAR,
,249,4M0827933A S9R,REAR SPOILER,T9-77,B22,09 RHS,3,,,,,,,,,,Verified,NEESHAN,
,250,4M0825213J,DRAG REDUCTION,T10-17,B22,10 LHS,23,,,,,,,,,,Verified,ARIF,
,251,4M0825205AA,CD-ENHANCING UNDERBODY PANEL,T10-20,B22,10 LHS,20,,,,,,,,,,Verified,ARIF,
,252,4M0825285R,SHIELD,T10-23,B22,10 LHS,25,,,,,,,,,,Verified,AMMAR,
,253,4M0825235BA,SHIELD,T10-27,B22,10 LHS,2,,,,,,,,,,Verified,AMMAR,
,254,4M0821171AP,WHEEL HOUSING LINER,T10-32,B22,10 LHS,14,,,,,,,,,,Verified,ZULFADLI,
,255,4M0821191G,WHEEL HOUSING LINER,T10-34,B22,10 LHS,26,,,,,,,,,,Verified,NEESHAN,
,256,4M0853025J S9R,WHEEL TRIM,T10-37,B22,10 LHS,1,,,,,,,,,,Verified,AMMAR,"Multiple boxes in separate rack, 8 box/pcs total "
,257,4M0810171J,"WHEEL HOUSING LINER,REAR",T10-43,B22,10 LHS,2,,,,,,,,,,Verified,AMMAR,
,258,4M0810172L,"WHEEL HOUSING LINER,REAR",T10-44,B22,10 LHS,15,,,,,,,,,,Verified,ARIF,
,259,4M0804033G,AIR DUCT ELEMENT,T10-45,B22,10 LHS,21,,,,,,,,,,Verified,AMMAR,
,260,4M0825236AK,SHIELD,T10-47,B22,10 LHS,19,,,,,,,,,,Verified,AMMAR,
,261,4M0807081B 9B9,"COVER,BUMPER",T10-56,B22,10 RHS,25,,,,,31,,,,,Verified,ZULFADLI,
,262,4M0825212H,CD-ENHANCING UNDERBODY PANEL,T10-63,B22,10 RHS,140,,,,,,,,,,Verified,ZULFADLI,
,263,4M0825219F,"CD-ENHANCING UNDERBODY PANEL,R",T10-64,B22,10 RHS,83,,,,,,,,,,Verified,Hazizie,
,264,4M0825214J,"CD-ENHANCING UNDERBODY PANEL,R",T10-66,B22,10 RHS,44,,,,,,,,,,Verified,AMMAR,
,265,4M0825206P,CD-ENHANCING UNDERBODY PANEL,T10-67,B22,10 RHS,60,,,,,,,,,,Verified,ARIF,
,266,4M0821172AG,WHEEL HOUSING LINER,T10-70,B22,10 RHS,14,,,,,,,,,,Verified,AMMAR,
,267,4M0821192H,WHEEL HOUSING LINER,T10-71,B22,10 RHS,1,4,,,,,,,,,Verified,AMMAR,
,268,4M0853026J S9R,WHEEL TRIM,T10-73,B22,10 RHS,1,,,,,,,,,,Verified,NEESHAN,
,269,4M0863869A,TUNNEL DAMPING,T13-1,B22,13 LHS,41,,,,,,,,,,Verified,HAZIZIE,
,270,4M0867767G 4PK,"TRIM,WHEEL HOUSING REAR",T13-48,B22,13 LHS,13,,,,,,,,,,Verified,ARIF,
,271,4M0867768G 4PK,"TRIM,WHEEL HOUSING REAR",T13-50,B22,13 LHS,13,,,,,,,,,,Verified,ARIF,
,272,4M0853369D 4PK,SCUFF PLATE,T13-51,B22,13 LHS,20,,,,,,,,,,Verified,HAZIZIE,
,273,4M0853370D 4PK,SCUFF PLATE,T13-52,B22,13 LHS,56,,,,,,,,,,Verified,ARIF,
,274,4M8863075F 24A,TRAY,T13-53,B22,13 LHS,7,,,,,,,,,,Verified,ARIF,
,275,8Y0035465A,BOOSTER,T13-68,B22,13 RHS,25,,,,,,,,,,Verified,HAZIZIE,
,276,4M0863527K 4PK,SHELF,T13-72,B22,13 RHS,7,,,,,,,,,,Verified,NEESHAN,
,277,4M0863528K 4PK,SHELF,T13-73,B22,13 RHS,7,,,,,,,,,,Verified,NEESHAN,
,278,4M0863879H HCK,SIDE TRIM PANEL,T13-76,B22,13 RHS,6,,,,,,,,,,Verified,ARIF,
,279,4M0863880C HCK,SIDE TRIM PANEL,T13-86,B22,13 RHS,1,,,,,,,,,,Verified,HAZIZIE,
,280,4M8419091ACQQT,STEERING WHEEL,T13-99,B22,13 RHS,7,12,,,,,,,,,Verified,HAZIZIE,
,281,4M0880201AE6PS,AIRBAG UNIT,T13-101,B22,13 RHS,7,,,,,,,,,,Verified,NEESHAN,
,282,9Y2864906A,PROTECTIVE LINING,T14-20,B22,14 LHS,0,,,,,,,,,,Counted,,B17 punya
,283,4M0133849T,"COVER,AIR CLEANER",T14-31,B22,14 RHS,15,,,,,,,,,,Verified,HAZIZIE,
,284,4M0867839D 2O9,LINING,T14-33,B22,14 RHS,51,,,,,,,,,,Verified,HAZIZIE,
,285,4M0867607F 4PK,"LINING,TRUNK LID",T14-34,B22,14 RHS,27,,,,,,,,,,Verified,AMMAR,
,286,4M0867608F 4PK,"LINING,TRUNK LID",T14-35,B22,14 RHS,87,,,,,,,,,,Verified,HAZIZIE,
,287,4M0867606J 4PK,"LINING,TRUNK LID",T14-37,B22,14 RHS,36,,,,,,,,,,Verified,AMMAR,
,288,4M0867974  4PK,"LINING,TRUNK LID",T14-41,B22,14 RHS,4,,,,,,,,,,Verified,ARIF,
,289,4M0035621L,SUBWOOFER,T14-46,B22,14 RHS,24,17,,,,,,,,,Verified,ARIF,
,290,4M0012021BR,TOOL KIT,T14-50,B22,14 RHS,25,,,,,,,,,,Verified,ZULFADLI,
,291,4M0012021BG,TOOL KIT,T14-51,B22,14 RHS,5,,,,,,,,,,Verified,AMMAR,
,292,4M0863462Q QA5,LUGGAGE COMPARTM FLOORB COVERING,T14-52,B22,14 RHS,2,,,,,,,,,,Verified,AMMAR,
,293,4M8955405K,WIPER LEVER,T14-55,B22,14 RHS,0,,,,,,,,,,Counted,,
,294,4M8955406G,WIPER LEVER,T14-56,B22,14 RHS,4,,,,,,,,,,Verified,AMMAR,
,295,8Y0012007,BAG,T15-22,B22,15 LHS,43,,,,,,,,,,Verified,NEESHAN,
,296,4M2863011D JTV,LUGGAGE COMPARTM.,T15-1,B22,15 LHS,12,,,,,,,,,,Verified,AMMAR,
,297,4M0863553E 94H,COVER,T15-11,B22,15 RHS,0,,,,,,,,,,Counted,,Direct b17
