,No.,PartNumber,Part Number,Part Name,REMARK NISHA,LUQMAN,S.Bin,Tact,Rack Number
,379,4M0819803D,4M0819803D,REAR FOOTWELL AIR DUCT,WARENKOB,,T4-47,04 LHS,20
,372,4M0819821C,4M0819821C,REAR FOOTWELL AIR DUCT,WARENKOB,,T4-49,04 LHS,20
,375,4M0819805B,4M0819805B,REAR FOOTWELL AIR DUCT,WARENKOB,,T4-50,04 LHS,20
,1074,4M08272799B9,4M0827279  9B9,COVER,CHECK LOCATION,,T4-64,4 RHS,49
,1075,4M08272809B9,4M0827280  9B9,COVER,CHECK LOCATION,,T4-65,4 RHS,49
,377,4M0616204F,4M0616204F,PRESSURE ACCUMULATOR,WARENKOB,,T4-75,04 RHS,20
,378,4M0819804E,4M0819804E,REAR FOOTWELL AIR DUCT,WARENKOB,,T4-76,04 RHS,20
,370,4M0819822C,4M0819822C,REAR FOOTWELL AIR DUCT,WARENKOB,,T4-77,04 RHS,20
,373,4M0819806B,4M0819806B,REAR FOOTWELL AIR DUCT,WARENKOB,,T4-78,04 RHS,20
,302,4M0035399Q,4M0035399Q,LOUDSPEAKER,CHECK LOCATION,,T5-16,05 LHS,15
,369,4M08571854PK,4M0857185  4PK,TRIM,CHECK LOCATION,,T5-24,05 LHS,19
,550,4M2816740,4M281674,REFRIGERANT LINE,WARENKOB,,T6-20,6 LHS,27
,555,4M2819904B,4M2819904B,AIR INTAKE,WARENKOB,,T6-24,6 LHS,27
,552,4M2819979B,4M2819979B,DRIP RAIL,WARENKOB,,T6-28,6 LHS,27
,554,4M0816738M,4M0816738M,REFRIGERANT PIPE,WARENKOB,,T6-29,6 LHS,27
,553,4M0955448C,4M0955448C,WASHER FLUID RESERVOIR,WARENKOB,,T6-30,6 LHS,27
,523,N10009207,N10009207,HEXAGON HEAD BOLT WITH WASHER,CHECK GOLF,,T6-34,6 LHS,26
,547,4M0819523A,4M0819523A,PLENUM CHAMBER BULKHEAD,WARENKOB,,T6-39,6 LHS,27
,551,4M2819350,4M281935,HEATING HOSE,WARENKOB,,T6-41,6 LHS,27
,549,4M0806303H,4M0806303H,STRUT,WARENKOB,,T6-51,6 LHS,27
,548,4M0864831AD,4M0864831AD,"TRIM, DASH PANEL",WARENKOB,,T6-53,6 LHS,27
,556,4M0825621K,4M0825621K,"HEAT SHIELD, CROSS PANEL",WARENKOB,,T6-55,6 LHS,27
,484,4M0854327B01C,4M0854327B01C,WATER DEFLECTOR STRIP,CHANGE LOCATION KANBAN,,T6-64,05 LHS,24
,486,4M0854328B01C,4M0854328B01C,WATER DEFLECTOR STRIP,CHANGE LOCATION KANBAN,,T6-65,05 LHS,24
